bloc,n,mf_mean,dmc_mean,gap_mean,gap_median,gap_sd,gap_min,gap_max
EU,837,331.3323666793135,239.6332313713999,0.15030867129776482,0.17385152285188743,0.26045555263613845,-0.9828597646507381,0.6877256518661344
MERCOSUR,124,915.1951154452024,1072.7536732202323,-0.35181414947234857,-0.23079513432172025,0.2820821462814072,-1.2277867721741036,0.03772098887313172
