iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,bloc_eu15
AUT,Austria,2004,161.1895675919,231.20721562920002,329602607297.434,EU,0.30283504711025655,70.01764803730003,EU15
AUT,Austria,2005,171.5990440075,223.82848771669998,337250591306.488,EU,0.23334582761112546,52.229443709199984,EU15
AUT,Austria,2006,180.21578163069998,232.4395273482,348276446349.075,EU,0.22467669898187145,52.22374571750001,EU15
AUT,Austria,2007,180.3860727,237.3427590708,361424664731.668,EU,0.23997650736759857,56.956686370800014,EU15
AUT,Austria,2008,194.8791301684,239.91921416670002,366677269701.416,EU,0.1877302080816478,45.04008399830002,EU15
AUT,Austria,2009,177.1678370074,217.6940865372,353527252121.64,EU,0.18616146251117754,40.5262495298,EU15
AUT,Austria,2010,173.7201035249,218.0871903325,359922497999.326,EU,0.20343738089319724,44.3670868076,EU15
AUT,Austria,2011,188.0941540224,221.70357696279999,370459113959.145,EU,0.15159621419206673,33.60942294039998,EU15
AUT,Austria,2012,181.38810804480002,216.73596369389998,372786509411.403,EU,0.16309178710655678,35.347855649099955,EU15
AUT,Austria,2013,178.22562091409998,210.52162450909998,371851835129.742,EU,0.153409435587953,32.296003595,EU15
AUT,Austria,2014,170.9392742225,208.55891335159998,374662287024.534,EU,0.1803789563559854,37.619639129099994,EU15
AUT,Austria,2015,160.43764742570002,199.39102604730002,379546097300.633,EU,0.19536174417578545,38.953378621599995,EU15
AUT,Austria,2016,167.33067318579998,208.4247511449,387581921834.297,EU,0.1971650570931031,41.09407795910002,EU15
AUT,Austria,2017,151.2509979466,203.8346834926,396388751744.592,EU,0.25797221868725295,52.583685546,EU15
AUT,Austria,2018,143.3164788965,210.6487530389,406235924915.185,EU,0.31964240552597006,67.3322741424,EU15
AUT,Austria,2019,145.89891785,205.05392524649997,413365268699.049,EU,0.2884851256828583,59.15500739649997,EU15
AUT,Austria,2020,138.938024934,202.9947245718,387247796560.501,EU,0.3155584450429543,64.0566996378,EU15
AUT,Austria,2021,136.02275398429998,225.04839741499998,406312360757.929,EU,0.3955844362958625,89.0256434307,EU15
AUT,Austria,2022,141.1464114102,222.5778590896,427972725600.496,EU,0.3658560110717001,81.43144767940001,EU15
AUT,Austria,2023,145.7646556347,231.5324001873,424607814488.72,EU,0.3704351722835227,85.76774455259999,EU15
AUT,Austria,2024,150.41903737799998,236.2417712042,421809268656.554,EU,0.3632834844944399,85.82273382620002,EU15
BEL,Belgium,1994,204.2521662625,396.2005436965,311957523163.918,EU,0.48447277644585335,191.948377434,EU15
BEL,Belgium,1995,199.3905857342,401.04206212040003,319396952810.439,EU,0.5028187699814406,201.65147638620004,EU15
BEL,Belgium,1996,200.861008058,390.3530164371,323617566812.874,EU,0.48543754089225544,189.49200837909999,EU15
BEL,Belgium,1997,195.1697380413,389.6569290223,335894554716.996,EU,0.49912416922494796,194.487190981,EU15
BEL,Belgium,1998,197.52747571650002,394.0990145266,342484242936.573,EU,0.4987871868855745,196.57153881009998,EU15
BEL,Belgium,1999,201.37257970860003,450.9349406659,354617493817.972,EU,0.5534331861460299,249.56236095729997,EU15
BEL,Belgium,2000,193.850212639,413.890827703,367797580320.048,EU,0.5316392641150697,220.040615064,EU15
BEL,Belgium,2001,179.7687084436,369.47648756160004,371841895842.954,EU,0.5134502072648709,189.70777911800005,EU15
BEL,Belgium,2002,179.5587198788,390.4201702985,378188843981.109,EU,0.5400885160684286,210.86145041970002,EU15
BEL,Belgium,2003,179.99105789840002,383.9731733451,382114274683.528,EU,0.5312405386804689,203.9821154467,EU15
BEL,Belgium,2004,178.18000704370002,454.34136835879997,395760365336.901,EU,0.6078279033068618,276.16136131509995,EU15
BEL,Belgium,2005,148.04797964160002,474.0958728321,404948883847.345,EU,0.6877256518661344,326.04789319049996,EU15
BEL,Belgium,2006,172.4243301334,490.38234911940003,415284559725.448,EU,0.6483879763555326,317.95801898600007,EU15
BEL,Belgium,2007,166.6396177786,488.5863632884,430554259966.472,EU,0.6589351846477202,321.94674550979994,EU15
BEL,Belgium,2008,175.2082391507,540.544176647,432478429044.827,EU,0.6758669379484982,365.33593749629995,EU15
BEL,Belgium,2009,170.2468037292,377.6268542035,424233482718.834,EU,0.5491665864487079,207.3800504743,EU15
BEL,Belgium,2010,180.4564163855,512.5447614395,435731531598.616,EU,0.6479206696432097,332.088345054,EU15
BEL,Belgium,2011,182.9359183818,467.6886889561,444146182962.729,EU,0.6088510953939889,284.75277057430003,EU15
BEL,Belgium,2012,176.6893781162,451.8743512712,445104666468.521,EU,0.6089856004901749,275.18497315499997,EU15
BEL,Belgium,2013,171.14472966780002,406.3977569846,446464436962.24,EU,0.5788738330209697,235.25302731679997,EU15
BEL,Belgium,2014,165.9985375842,410.3501615894,454346946885.841,EU,0.595471007148525,244.3516240052,EU15
BEL,Belgium,2015,161.18403384779998,366.6291551677,461044767544.531,EU,0.5603622036712472,205.4451213199,EU15
BEL,Belgium,2016,163.50250311050002,461.6309338934,466547349432.055,EU,0.6458155398479946,298.1284307829,EU15
BEL,Belgium,2017,170.96448982980002,430.5320005865,473426439010.72,EU,0.602899460209925,259.56751075669996,EU15
BEL,Belgium,2018,211.1052487647,464.1253416633,482317238282.145,EU,0.5451546601438401,253.02009289859998,EU15
BEL,Belgium,2019,201.3308390558,460.4081713099,494099718080.569,EU,0.5627122809680011,259.07733225410004,EU15
