iso3,year,bloc,tapio,regime_viterbi
URY,2006,MERCOSUR,SD,2
URY,2007,MERCOSUR,WD,2
URY,2008,MERCOSUR,SD,2
URY,2009,MERCOSUR,WD,2
URY,2010,MERCOSUR,EC,2
URY,2011,MERCOSUR,SD,2
URY,2012,MERCOSUR,SD,2
URY,2013,MERCOSUR,END,2
URY,2014,MERCOSUR,SD,2
URY,2015,MERCOSUR,SD,2
URY,2016,MERCOSUR,SD,2
URY,2017,MERCOSUR,END,2
URY,2018,MERCOSUR,SD,2
URY,2019,MERCOSUR,END,2
URY,2020,MERCOSUR,RND,2
URY,2021,MERCOSUR,WD,2
URY,2022,MERCOSUR,WD,2
URY,2023,MERCOSUR,END,2
URY,2024,MERCOSUR,WD,2
