iso3,year,bloc,tapio,regime_viterbi
CYP,2013,EU,RND,1
CYP,2014,EU,SND,2
CYP,2015,EU,SD,2
CYP,2016,EU,END,2
CYP,2017,EU,END,2
CYP,2018,EU,SD,2
CYP,2019,EU,EC,2
CYP,2020,EU,SND,2
CYP,2021,EU,WD,2
CYP,2022,EU,SD,2
CYP,2023,EU,END,2
CYP,2024,EU,EC,2
CZE,1995,EU,WD,2
CZE,1996,EU,EC,2
CZE,1997,EU,RND,1
CZE,1998,EU,RND,1
CZE,1999,EU,END,2
CZE,2000,EU,WD,2
CZE,2001,EU,WD,2
CZE,2002,EU,END,2
CZE,2003,EU,EC,2
CZE,2004,EU,END,2
CZE,2005,EU,WD,2
CZE,2006,EU,SD,2
CZE,2007,EU,END,2
CZE,2008,EU,END,2
CZE,2009,EU,RND,1
CZE,2010,EU,SD,1
CZE,2011,EU,END,1
CZE,2012,EU,RND,1
CZE,2013,EU,RND,1
CZE,2014,EU,WD,2
CZE,2015,EU,SD,2
CZE,2016,EU,SD,2
CZE,2017,EU,WD,2
CZE,2018,EU,END,2
CZE,2019,EU,SD,2
CZE,2020,EU,RND,1
CZE,2021,EU,END,1
CZE,2022,EU,SD,1
CZE,2023,EU,END,1
CZE,2024,EU,END,1
DEU,1995,EU,SD,2
DEU,1996,EU,SD,2
DEU,1997,EU,SD,2
DEU,1998,EU,END,2
DEU,1999,EU,END,2
DEU,2000,EU,SD,2
DEU,2001,EU,SD,2
DEU,2002,EU,RND,2
DEU,2003,EU,SND,2
DEU,2004,EU,END,2
DEU,2005,EU,SD,2
DEU,2006,EU,EC,2
DEU,2007,EU,END,2
DEU,2008,EU,WD,2
DEU,2009,EU,RND,2
DEU,2010,EU,SD,2
DEU,2011,EU,END,2
DEU,2012,EU,SD,2
DEU,2013,EU,SD,2
DEU,2014,EU,SD,2
DEU,2015,EU,SD,2
DEU,2016,EU,EC,2
DEU,2017,EU,WD,2
DEU,2018,EU,END,2
DEU,2019,EU,SD,2
DEU,2020,EU,RC,2
DEU,2021,EU,END,2
DEU,2022,EU,SD,2
DEU,2023,EU,SND,2
DEU,2024,EU,SND,2
DNK,1995,EU,END,2
DNK,1996,EU,WD,2
DNK,1997,EU,SD,2
DNK,1998,EU,END,2
DNK,1999,EU,EC,2
DNK,2000,EU,SD,2
DNK,2001,EU,SD,2
DNK,2002,EU,SD,2
DNK,2003,EU,END,2
DNK,2004,EU,END,2
DNK,2005,EU,END,2
DNK,2006,EU,SD,2
DNK,2007,EU,END,2
DNK,2008,EU,RND,1
DNK,2009,EU,RND,1
DNK,2010,EU,SD,1
DNK,2011,EU,END,1
DNK,2012,EU,RND,1
DNK,2013,EU,END,2
DNK,2014,EU,SD,2
DNK,2015,EU,WD,2
DNK,2016,EU,SD,2
DNK,2017,EU,END,2
DNK,2018,EU,SD,2
DNK,2019,EU,SD,2
DNK,2020,EU,RND,2
DNK,2021,EU,EC,2
DNK,2022,EU,END,2
DNK,2023,EU,END,2
DNK,2024,EU,WD,2
ESP,1995,EU,END,2
ESP,1996,EU,SD,2
ESP,1997,EU,EC,2
ESP,1998,EU,END,2
ESP,1999,EU,END,2
ESP,2000,EU,WD,2
ESP,2001,EU,EC,2
ESP,2002,EU,END,2
ESP,2003,EU,END,2
ESP,2004,EU,END,2
ESP,2005,EU,END,2
ESP,2006,EU,END,2
ESP,2007,EU,EC,2
ESP,2008,EU,SD,2
ESP,2009,EU,RND,1
ESP,2010,EU,SD,1
ESP,2011,EU,RND,1
ESP,2012,EU,RND,1
ESP,2013,EU,SND,2
ESP,2014,EU,SD,2
ESP,2015,EU,SD,2
ESP,2016,EU,SD,2
ESP,2017,EU,SD,2
ESP,2018,EU,END,2
ESP,2019,EU,SD,2
ESP,2020,EU,SND,2
ESP,2021,EU,EC,2
ESP,2022,EU,SD,2
ESP,2023,EU,END,2
ESP,2024,EU,WD,2
EST,1995,EU,SD,2
EST,1996,EU,WD,2
EST,1997,EU,EC,2
EST,1998,EU,WD,2
EST,1999,EU,SND,2
EST,2000,EU,EC,2
EST,2001,EU,WD,2
EST,2002,EU,END,2
EST,2003,EU,END,2
EST,2004,EU,EC,2
EST,2005,EU,EC,2
EST,2006,EU,END,2
EST,2007,EU,END,2
EST,2008,EU,RND,1
EST,2009,EU,RND,1
EST,2010,EU,END,2
EST,2011,EU,WD,2
EST,2012,EU,END,2
EST,2013,EU,END,2
EST,2014,EU,SD,2
EST,2015,EU,END,2
EST,2016,EU,EC,2
EST,2017,EU,END,2
EST,2018,EU,SD,2
EST,2019,EU,SD,2
EST,2020,EU,SND,2
EST,2021,EU,WD,2
EST,2022,EU,SND,2
EST,2023,EU,SND,2
EST,2024,EU,SND,2
FIN,1995,EU,EC,2
FIN,1996,EU,SD,2
FIN,1997,EU,WD,2
FIN,1998,EU,WD,2
FIN,1999,EU,END,2
FIN,2000,EU,SD,2
FIN,2001,EU,END,2
FIN,2002,EU,WD,2
FIN,2003,EU,END,2
FIN,2004,EU,SD,2
FIN,2005,EU,END,2
FIN,2006,EU,WD,2
FIN,2007,EU,WD,2
FIN,2008,EU,SD,2
FIN,2009,EU,RND,1
FIN,2010,EU,SD,1
FIN,2011,EU,END,1
FIN,2012,EU,RND,1
FIN,2013,EU,RD,1
FIN,2014,EU,RND,1
FIN,2015,EU,SD,2
FIN,2016,EU,END,2
FIN,2017,EU,EC,2
FIN,2018,EU,END,2
FIN,2019,EU,SD,2
FIN,2020,EU,SND,2
FIN,2021,EU,SD,2
FIN,2022,EU,SD,2
FIN,2023,EU,SND,2
FIN,2024,EU,END,2
FRA,1995,EU,WD,2
FRA,1996,EU,SD,2
FRA,1997,EU,EC,2
FRA,1998,EU,END,2
FRA,1999,EU,END,2
FRA,2000,EU,WD,2
FRA,2001,EU,SD,2
FRA,2002,EU,END,2
FRA,2003,EU,END,2
FRA,2004,EU,EC,2
FRA,2005,EU,EC,2
FRA,2006,EU,WD,2
FRA,2007,EU,END,2
