iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,g_mf,g_gdp,elasticity,tapio,regime_viterbi,p_regime1,p_regime2,p_regime3
ARG,Argentina,2023,894.8842822874,747.4613395427001,591684674129.454,MERCOSUR,-0.1972315288371889,-147.42294274469987,0.01517737247514795,-0.01855788030463457,-0.8178397654260986,SND,2,0,1,1.86768988559133e-20
ARG,Argentina,2024,912.3304993142,760.5593607329,583738758865.705,MERCOSUR,-0.19955199609278151,-151.77113858130008,0.01752334267644309,-0.01342930721577308,-1.3048582771165922,SND,2,0,1,2.0828768903682692e-20
AUT,Austria,1995,156.770567243,215.7503186968,267089386116.812,EU,0.273370402463627,58.97975145379999,0.0176631422397652,0.02667983888825172,0.6620408134302131,WD,2,0,1,0
AUT,Austria,1996,163.6604656518,211.8221824096,273007464944.44,EU,0.22736861744097145,48.16171675780001,-0.01820686203815219,0.02215767130873448,-0.8216956459217403,SD,2,0.23601510906751916,0.7639848909324808,0
AUT,Austria,1997,161.3861872938,212.3730790296,278865754830.707,EU,0.24008170889067157,50.986891735800015,0.00260075037341809,0.02145835055264585,0.12119992014472046,WD,2,0,1,0
AUT,Austria,1998,161.1523860273,220.0769197174,288606201090.647,EU,0.2677451763945297,58.92453369010002,0.03627503411920792,0.03492880029623287,1.0385422290934008,EC,2,0.09993963160967073,0.9000603683903293,0
AUT,Austria,1999,157.938856943,219.7574061123,299463348050.583,EU,0.28130359864963833,61.81854916930001,-0.00145182695900265,0.03761924351904679,-0.03859266756035622,SD,2,0.23601510906751919,0.7639848909324809,0
AUT,Austria,2000,150.90795085640002,212.298085761,309014800203.266,EU,0.2891695169296604,61.39013490459999,-0.03394343100085621,0.03189522929887776,-1.0642165536038497,SD,2,0.2816676147798261,0.7183323852201738,0
AUT,Austria,2001,142.7411303692,209.6095608825,313084486481.847,EU,0.3190142197320101,66.86843051330001,-0.01266391483871729,0.01316987495713475,-0.9615820104545972,SD,2,0.33230967507362946,0.6676903249263706,0
AUT,Austria,2002,145.6166928711,209.7540270386,317731814841.85,EU,0.30577403005329234,64.13733416749997,6.892154894640674e-4,0.01484368776053184,0.0464315539765418,WD,2,0,1,0
AUT,Austria,2003,153.1616729809,224.1525068165,321358930178.288,EU,0.3167077399393793,70.99083383560003,0.0686445928175211,0.01141565045427835,6.013200307109484,END,2,0.26004295415255635,0.7399570458474437,1.6477018930074916e-21
AUT,Austria,2004,161.1895675919,231.2072156292,329602607297.434,EU,0.30283504711025655,70.01764803730003,0.03147280801314107,0.02565255340678553,1.226887924724717,END,2,0.33306620895343686,0.656374975111728,0.01055881593483514
AUT,Austria,2005,171.5990440075,223.8284877167,337250591306.488,EU,0.23334582761112543,52.229443709199984,-0.03191391709994753,0.02320365142667818,-1.3753834046677154,SD,2,0.3917544466649588,0.6082455533350412,0
AUT,Austria,2006,180.2157816307,232.4395273482,348276446349.075,EU,0.22467669898187145,52.22374571750001,0.03847159813901339,0.0326933601506036,1.1767404133986852,EC,2,0.22710350279254976,0.7728964972074501,0
AUT,Austria,2007,180.3860727,237.3427590708,361424664731.668,EU,0.23997650736759857,56.956686370800014,0.02109465536494086,0.03775224687291845,0.558765559993016,WD,2,0,1,0
AUT,Austria,2008,194.8791301684,239.9192141667,366677269701.416,EU,0.1877302080816478,45.04008399830002,0.01085541899818991,0.0145330562142118,0.7469467425285571,WD,2,0,1,0
AUT,Austria,2009,177.1678370074,217.6940865372,353527252121.64,EU,0.18616146251117752,40.5262495298,-0.0926358804012153,-0.03586264725512986,2.5830742427405293,RND,2,0.37478016580461104,0.625219834195389,1.7633614458113954e-19
AUT,Austria,2010,173.7201035249,218.0871903325,359922497999.326,EU,0.20343738089319724,44.3670868076,0.00180576239599792,0.01808982430436657,0.09982199747302356,WD,2,0,1,0
AUT,Austria,2011,188.0941540224,221.7035769628,370459113959.145,EU,0.15159621419206673,33.60942294039998,0.01658229731322779,0.02927468001691509,0.5664382088428103,WD,2,0,1,0
AUT,Austria,2012,181.3881080448,216.7359636939,372786509411.403,EU,0.16309178710655678,35.347855649099955,-0.02240655444965389,0.00628246239479659,-3.566524245049513,SD,1,0.23601510906751916,0.7639848909324808,0
AUT,Austria,2013,178.22562091409998,210.5216245091,371851835129.742,EU,0.153409435587953,32.296003595,-0.02867239510640983,-0.00250726423318477,11.43572932079424,RND,1,0.21420768466123058,0.28153653541649754,0.5042557799222719
AUT,Austria,2014,170.9392742225,208.5589133516,374662287024.534,EU,0.1803789563559854,37.619639129099994,-0.00932308574986868,0.0075579885031666,-1.2335406101719462,SD,1,0.4912837093591462,0.5087162906408538,0
AUT,Austria,2015,160.43764742570002,199.3910260473,379546097300.633,EU,0.19536174417578545,38.953378621599995,-0.0439582617542905,0.01303523318262132,-3.372265086358103,SD,1,0.550719651725181,0.44928034827481905,0
AUT,Austria,2016,167.33067318579998,208.4247511449,387581921834.297,EU,0.1971650570931031,41.09407795910002,0.0453065781177986,0.02117219644943138,2.139909207153393,END,1,0.6262918045737484,0.3538535848166402,0.019854610609611384
AUT,Austria,2017,151.2509979466,203.8346834926,396388751744.592,EU,0.25797221868725295,52.583685546,-0.02202266106633815,0.02272249920382037,-0.9692006530089544,SD,1,0.6919775147633476,0.3080224852366525,0
AUT,Austria,2018,143.3164788965,210.6487530389,406235924915.185,EU,0.31964240552597006,67.3322741424,0.03342939204233799,0.0248422114080016,1.3456689299234643,END,1,0.7462767432293053,0.2300649012954683,0.02365835547522645
AUT,Austria,2019,145.89891785,205.05392524649997,413365268699.049,EU,0.2884851256828583,59.15500739649997,-0.02655998533903897,0.01754976196492837,-1.5134100047691084,SD,1,0.8045820813588549,0.19541791864114513,0
AUT,Austria,2020,138.938024934,202.9947245718,387247796560.501,EU,0.3155584450429543,64.0566996378,-0.01004223972901064,-0.06318255092099401,0.15894008049101813,RD,3,0,0.06337570211299098,0.936624297887009
AUT,Austria,2021,136.02275398429998,225.048397415,406312360757.929,EU,0.3955844362958625,89.0256434307,0.10864160578419146,0.04923091717178957,2.206775986014853,END,1,0.5795418989996128,0.2906117922818938,0.12984630871849337
AUT,Austria,2022,141.1464114102,222.5778590896,427972725600.496,EU,0.3658560110717001,81.43144767940001,-0.01097780901253974,0.05330963794003715,-0.20592540930192813,SD,1,0.7168108870377455,0.28318911296225446,0
AUT,Austria,2023,145.7646556347,231.5324001873,424607814488.72,EU,0.3704351722835227,85.76774455259999,0.04023105053811889,-0.00786244288594474,-5.116863946959504,SND,3,0,0.5071459898006306,0.49285401019936936
AUT,Austria,2024,150.41903737799998,236.2417712042,421809268656.554,EU,0.3632834844944399,85.82273382620002,0.02034000862553285,-0.00659089573171362,-3.0860765294256116,SND,3,0,0.4798953852173608,0.5201046147826391
BEL,Belgium,1995,199.3905857342,401.0420621204,319396952810.439,EU,0.5028187699814406,201.65147638620004,0.01221986819788087,0.02384757248701436,0.512415601400726,WD,2,0,1,0
BEL,Belgium,1996,200.861008058,390.3530164371,323617566812.874,EU,0.48543754089225544,189.4920083791,-0.02665317853889086,0.01321432144326034,-2.016991841263608,SD,2,0.23601510906751916,0.7639848909324808,0
BEL,Belgium,1997,195.1697380413,389.6569290223,335894554716.996,EU,0.499124169224948,194.487190981,-0.00178322540236385,0.03793671655414458,-0.04700526467067253,SD,2,0.28166761477982616,0.7183323852201738,0
BEL,Belgium,1998,197.5274757165,394.0990145266,342484242936.573,EU,0.4987871868855745,196.5715388101,0.01139999105224631,0.01961832404555974,0.5810889363317706,WD,2,0,1,0
BEL,Belgium,1999,201.37257970860003,450.9349406659,354617493817.972,EU,0.5534331861460299,249.56236095729997,0.14421737696444764,0.03542717988239251,4.0708116605161795,END,1,0.26004295415255635,0.7399570458474437,1.6477018930074916e-21
BEL,Belgium,2000,193.850212639,413.890827703,367797580320.048,EU,0.5316392641150697,220.040615064,-0.08214957330251807,0.03716705106725906,-2.2102795606209584,SD,1,0.3084666139446441,0.6915333860553559,0
BEL,Belgium,2001,179.7687084436,369.4764875616,371841895842.954,EU,0.5134502072648709,189.70777911800005,-0.10730931242881007,0.01099603624196425,-9.758908580101323,SD,1,0.36150215104527067,0.6384978489547293,0
BEL,Belgium,2002,179.5587198788,390.4201702985,378188843981.109,EU,0.5400885160684286,210.8614504197,0.05668475110586908,0.01706894303496032,3.3209291864041224,END,1,0.44347213206256697,0.5424689796779754,0.01405888825945766
BEL,Belgium,2003,179.99105789840002,383.9731733451,382114274683.528,EU,0.5312405386804689,203.9821154467,-0.0165129710088259,0.01037955181622196,-1.590913683095464,SD,1,0.509236838751413,0.49076316124858704,0
BEL,Belgium,2004,178.18000704370002,454.3413683588,395760365336.901,EU,0.6078279033068618,276.16136131509995,0.18326331082108135,0.03571206719423098,5.131691476283014,END,1,0.588532416230186,0.39281001573196156,0.01865756803785241
BEL,Belgium,2005,148.04797964160002,474.0958728321,404948883847.345,EU,0.6877256518661344,326.04789319049996,0.04347943165434925,0.02321737929118296,1.8727105720696475,END,1,0.6693678718858479,0.30941192635864156,0.02122020175551059
BEL,Belgium,2006,172.4243301334,490.3823491194,415284559725.448,EU,0.6483879763555326,317.95801898600007,0.03435270632079054,0.02552340873224706,1.3459294046953951,END,1,0.7397346177397607,0.23681442428439822,0.023450957975841118
BEL,Belgium,2007,166.6396177786,488.5863632884,430554259966.472,EU,0.6589351846477202,321.94674550979994,-0.00366241940442008,0.03676924625158002,-0.09960550671507735,SD,1,0.7985831062278443,0.20141689377215566,0
BEL,Belgium,2008,175.2082391507,540.544176647,432478429044.827,EU,0.6758669379484982,365.33593749629995,0.10634315089946672,0.00446905130727281,23.795464313960036,END,1,0.8289269770177763,0.14479450196007584,0.026278521022147967
BEL,Belgium,2009,170.2468037292,377.6268542035,424233482718.834,EU,0.5491665864487079,207.3800504743,-0.30139501909737976,-0.01906441055153398,15.809301750120383,RND,3,0.2913769597870546,0.02270686339058201,0.6859161768223633
BEL,Belgium,2010,180.4564163855,512.5447614395,435731531598.616,EU,0.6479206696432097,332.088345054,0.3572783707889955,0.02710311502546468,13.182188484730084,END,2,0.5875674664302983,0.28506468894493486,0.1273678446247669
BEL,Belgium,2011,182.9359183818,467.6886889561,444146182962.729,EU,0.6088510953939889,284.75277057430003,-0.08751640024067389,0.01931155024113408,-4.531816407688585,SD,2,0.7234665340725984,0.2765334659274015,0
BEL,Belgium,2012,176.6893781162,451.8743512712,445104666468.521,EU,0.6089856004901749,275.18497315499997,-0.03381381260299078,0.00215803612089676,-15.668788986228632,SD,2,0.768555013624921,0.23144498637507904,0
BEL,Belgium,2013,171.14472966780002,406.3977569846,446464436962.24,EU,0.5788738330209697,235.25302731679997,-0.10063991053855248,0.00305494549070327,-32.94327536933703,SD,2,0.8082404627532216,0.1917595372467784,0
BEL,Belgium,2014,165.9985375842,410.3501615894,454346946885.841,EU,0.595471007148525,244.3516240052,0.00972545870854736,0.01765540381499116,0.5508488398486532,WD,2,0,1,0
BEL,Belgium,2015,161.18403384779998,366.6291551677,461044767544.531,EU,0.5603622036712472,205.4451213199,-0.10654560547108452,0.01474164337319271,-7.227525641058096,SD,1,0.23601510906751916,0.7639848909324808,0
BEL,Belgium,2016,163.50250311050002,461.6309338934,466547349432.055,EU,0.6458155398479946,298.1284307829,0.25912226942847805,0.01193502730077618,21.711074712969136,END,1,0.30547934269574595,0.6848363961432254,0.009684261161028605
BEL,Belgium,2017,170.96448982980002,430.5320005865,473426439010.72,EU,0.602899460209925,259.56751075669996,-0.06736752462537839,0.01474467615567668,-4.568938911516343,SD,1,0.3615021510452707,0.6384978489547294,0
BEL,Belgium,2018,211.1052487647,464.1253416633,482317238282.145,EU,0.5451546601438401,253.0200928986,0.07802751254503006,0.01877968473835854,4.1548893728580305,END,1,0.4434721320625669,0.5424689796779754,0.01405888825945766
BEL,Belgium,2019,201.3308390558,460.4081713099,494099718080.569,EU,0.5627122809680011,259.07733225410004,-0.00800897951419468,0.02442890044815578,-0.32784854689599063,SD,1,0.5092368387514129,0.4907631612485871,0
BEL,Belgium,2020,194.656788041,432.9011379797,470417598101.755,EU,0.5503435519956337,238.24434993870003,-0.05974488517860176,-0.04792983908351939,1.2465071095793636,RND,1,0.26699787379734957,0.10447555722266069,0.6285265689799897
BEL,Belgium,2021,207.1999753424,510.87204798079995,499839663858.827,EU,0.5944190406162382,303.6720726383999,0.18011250874733484,0.06254456864665976,2.8797465974202363,END,1,0.5875674664302982,0.28506468894493486,0.12736784462476688
BEL,Belgium,2022,216.4868864904,505.3360278316,519614510458.488,EU,0.5715981553515064,288.84914134120004,-0.0108364123092677,0.03956237975793391,-0.2739069888002516,SD,1,0.7234665340725985,0.2765334659274016,0
