iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt
LTU,Lithuania,2016,38.464630073799995,54.3893500448,42650896790.5078,EU,0.2927911430800875,15.924719971000002
LTU,Lithuania,2017,44.953494494900006,58.327283959,44618059836.1503,EU,0.22928874030035123,13.373789464099993
LTU,Lithuania,2018,44.293753125600006,59.9025036873,46812540124.5928,EU,0.2605692517157546,15.608750561699992
LTU,Lithuania,2019,48.0621046653,63.318880819899995,49002127329.2631,EU,0.2409514501368929,15.256776154599997
LTU,Lithuania,2020,49.020219060500004,58.4372848146,49023107998.6089,EU,0.16114824266693564,9.417065754099994
LTU,Lithuania,2021,49.505043782,62.3006228521,52150790162.9131,EU,0.20538444857086513,12.795579070099997
LTU,Lithuania,2022,51.3886581916,60.0407694015,53474129886.9706,EU,0.14410393631104673,8.6521112099
LTU,Lithuania,2023,53.0948587477,64.0758788805,53657151896.4273,EU,0.1713752557850879,10.981020132799998
LTU,Lithuania,2024,54.8189793495,65.9155626649,55144866855.2473,EU,0.1683454235506196,11.096583315399997
LUX,Luxembourg,1994,5.627908790799999,12.592142839700001,30172289819.1612,EU,0.5530618686236186,6.964234048900002
LUX,Luxembourg,1995,7.3200897208,13.4853662772,30604417413.6204,EU,0.45718272901669466,6.1652765564
LUX,Luxembourg,1996,7.4802240190000004,11.135800063300001,31032290274.7242,EU,0.3282724207978193,3.655576044300001
LUX,Luxembourg,1997,6.9320591828,11.538273802400001,32714187913.5681,EU,0.3992117623904793,4.606214619600001
LUX,Luxembourg,1998,7.0795156386,12.8067757792,34897700608.2885,EU,0.4472054668046796,5.7272601406
LUX,Luxembourg,1999,5.202443188799999,16.0615369029,37750651094.139,EU,0.6760930650502898,10.859093714099998
LUX,Luxembourg,2000,6.470076133,14.491150879000001,40369840252.809,EU,0.5535153703784716,8.021074746
LUX,Luxembourg,2001,8.0839680888,13.4772037516,41610952660.8086,EU,0.4001746773443059,5.393235662799999
LUX,Luxembourg,2002,8.0539837639,15.278351167099999,42953079744.2546,EU,0.4728499380716397,7.224367403199999
LUX,Luxembourg,2003,10.2643960745,18.1674816357,44078183528.9345,EU,0.4350127177599588,7.903085561199999
LUX,Luxembourg,2004,10.8250603613,23.5800633235,45943523456.1968,EU,0.5409231852862882,12.755002962199999
LUX,Luxembourg,2005,10.0128534407,16.9142982183,47084243707.173,EU,0.40802430514871463,6.9014447776
LUX,Luxembourg,2006,9.370610122199999,16.425707324999998,49917168649.961,EU,0.42951557964643083,7.055097202799999
LUX,Luxembourg,2007,12.5423218147,20.9531052585,53959794029.7992,EU,0.4014098788716778,8.4107834438
LUX,Luxembourg,2008,10.6146622266,19.4058604866,53797819880.8557,EU,0.45301769875499404,8.791198260000002
LUX,Luxembourg,2009,12.052747585799999,28.0805147771,52055333192.7004,EU,0.5707789660740422,16.0277671913
LUX,Luxembourg,2010,11.4278395171,24.5341497327,54012829512.59,EU,0.5342068242997408,13.1063102156
