iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,g_mf,g_gdp,elasticity,tapio
BGR,Bulgaria,1996,93.5965101039,47.202788504,35569061221.1998,EU,-0.982859764650738,-46.393721599900005,-0.2658350830840308,0.05205393137615711,-5.106916539368138,SD
BRA,Brazil,1996,2221.882328023,1970.7807107273,1090424176256.21,MERCOSUR,-0.12741225643670576,-251.10161729569995,0.008691270013341653,0.022088640505144287,0.39347238284391106,WD
CYP,Cyprus,1996,18.0419993525,18.6234476535,12819935779.5217,EU,0.03122130294122655,0.5814483009999982,-0.190086250910071,0.012485414752710824,-15.224664512550502,SD
CZE,Czech Republic,1996,205.5264996382,195.9908266266,123212636052.806,EU,-0.04865367005042175,-9.53567301160001,0.04283396672615946,0.04168584269153051,1.0275423011866383,EC
DEU,Germany,1996,1460.3293455514,2047.6497115152,2641414240990.66,EU,0.28682658106068365,587.3203659638,-0.04573155836537541,0.010378755674360246,-4.4062660110933125,SD
DNK,Denmark,1996,94.470914183,131.4072293182,233320596409.064,EU,0.2810828241858706,36.93631513519999,0.010918696573867428,0.028957506923048455,0.3770592752643631,WD
ESP,Spain,1996,555.0878603843,629.8891650871001,824078081163.909,EU,0.11875312173762607,74.80130470280005,-0.031106950640111295,0.02607411171102334,-1.1930205325829075,SD
EST,Estonia,1996,23.0534980033,13.1417484937,10811255302.9678,EU,-0.7542184751406236,-9.9117495096,0.013144418124038213,0.04943012261318278,0.2659191891329167,WD
FIN,Finland,1996,97.8888460191,114.2843622542,158266465561.969,EU,0.14346246425763687,16.39551623509999,-0.029384993632049293,0.03662657169871665,-0.8022862165141955,SD
FRA,France,1996,669.051406566,1016.6921009595,1773739467493.06,EU,0.3419331123605811,347.6406943935,-0.01369686956193432,0.013970798719889987,-0.9803927346282874,SD
GRC,Greece,1996,200.9483793107,228.689585216,169803934634.075,EU,0.1213050689610464,27.741205905299974,0.024162451003752472,0.013824705732585827,1.7477732597808455,END
HRV,Croatia,1996,37.3996960424,53.724163808300005,35809633429.5919,EU,0.3038570842004988,16.324467765900003,-0.005992385060254541,0.06108980849757822,-0.09809140358480739,SD
HUN,Hungary,1996,130.7880681462,123.4181354094,79661529391.287,EU,-0.05971515217234992,-7.36993273680001,-0.01334913150604993,0.001012342276332171,-13.186381541246428,SD
IRL,Ireland,1996,98.6905818173,69.8905803828,111010999492.641,EU,-0.412072718194048,-28.800001434500004,0.03764015465002084,0.0737962465765923,0.5100551368958114,WD
ITA,Italy,1996,695.9750537488001,1061.6797885915998,1694189587392.1,EU,0.3444586011455821,365.7047348427998,-0.03411569444555566,0.013455847719282203,-2.5353805391739037,SD
LTU,Lithuania,1996,28.8485783951,36.3675156673,18768366411.8313,EU,0.2067487188562808,7.518937272199995,0.10744110473217965,0.05026943768473443,2.137304686119591,END
LUX,Luxembourg,1996,7.480224019,11.1358000633,31032290274.7242,EU,0.3282724207978193,3.655576044300001,-0.17423080438478436,0.013980754977984918,-12.462188534105666,SD
LVA,Latvia,1996,16.408407639,18.6871925614,11850946177.8588,EU,0.121943674252441,2.2787849224,0.14958067561169355,0.022999610380240714,6.5036178065086006,END
MLT,Malta,1996,5.6150385732000005,6.5190111002,4832017470.45867,EU,0.13866712498346048,0.9039725269999996,0.0018229261559093296,0.037773356666885555,0.048259575445870256,WD
NLD,Netherlands,1996,212.8788658502,396.8058584635,542250002539.882,EU,0.4635188435107706,183.9269926133001,-0.02194117442801725,0.03420577338113593,-0.6414465237648316,SD
POL,Poland,1996,563.5895698617,511.5871763946,232246717071.23,EU,-0.10164913404121244,-52.00239346710009,0.08688707007923938,0.06093877473856363,1.42580927253621,END
PRT,Portugal,1996,182.0813123164,199.1180341957,164086378007.658,EU,0.08556091841764428,17.03672187929999,0.10763319020316704,0.0350424653058695,3.071507362957675,END
PRY,Paraguay,1996,85.89244649519999,64.8548953237,20678499692.7003,MERCOSUR,-0.32437876996791953,-21.037551171499985,0.14408559803362783,0.015737851317499517,9.155353874350913,END
ROU,Romania,1996,213.429517559,198.8488055652,107771339314.171,EU,-0.07332562019850378,-14.58071199379998,-0.013417725061982938,0.03907702088161416,-0.3433661205298281,SD
SVK,Slovakia,1996,72.8675148801,78.7279832687,44130510842.8744,EU,0.07443945780496009,5.8604683885999975,0.10230960125361128,0.06119578785565574,1.6718405765921647,END
SVN,Slovenia,1996,24.115825107299997,30.5775033205,27192863782.3938,EU,0.21132131506851692,6.461678213200003,-0.0048441168972685736,0.029136177526255306,-0.16625780416471667,SD
SWE,Sweden,1996,122.3583099895,161.396615725,314787745399.443,EU,0.2418780936647177,39.0383057355,0.03715323937397742,0.017047198537422193,2.1794337229321425,END
URY,Uruguay,1996,81.0431879102,53.493460679399995,33077088488.9395,MERCOSUR,-0.5150111224979924,-27.54972723080001,0.3346734824018083,0.05577957763858554,5.9999285862340015,END
ARG,Argentina,1997,514.5110954217,518.8620911374,397463514160.866,MERCOSUR,0.0083856496553103,4.3509957156999235,0.12046803300098433,0.08111046770745736,1.4852341061017997,END
AUT,Austria,1997,161.3861872938,212.3730790296,278865754830.707,EU,0.24008170889067157,50.986891735800015,0.0026007503734180957,0.021458350552645854,0.12119992014472046,WD
BEL,Belgium,1997,195.1697380413,389.6569290223,335894554716.996,EU,0.499124169224948,194.487190981,-0.0017832254023638502,0.03793671655414458,-0.047005264670672536,SD
BGR,Bulgaria,1997,93.6772351927,54.1519698515,30548352778.3154,EU,-0.7298952457240141,-39.5252653412,0.14721972086270121,-0.1411538081272712,-1.042973780274923,SND
BRA,Brazil,1997,2317.6308146697997,2051.7188322097,1127442397626.76,MERCOSUR,-0.1296044946732359,-265.9119824600998,0.04106906518916073,0.03394845985316095,1.2097475221791771,END
CYP,Cyprus,1997,18.5783331583,22.1871116195,13158501394.566,EU,0.16265201722013628,3.6087784612,0.19135361144209312,0.0264093066351485,7.245688578109735,END
CZE,Czech Republic,1997,204.2099269409,191.8988329226,122478487836.036,EU,-0.06415408489360393,-12.311094018299997,-0.020878496072655656,-0.005958384142153779,3.5040533766439403,RND
DEU,Germany,1997,1440.039126135,2004.7680000732,2690394576515.06,EU,0.28169288113017565,564.7288739382,-0.020941917555942064,0.01854322383982827,-1.129356887283091,SD
DNK,Denmark,1997,94.4291904673,128.1338922356,240713316196.954,EU,0.26304283105930404,33.7047017683,-0.024909870633324695,0.031684814378448174,-0.7861769469689002,SD
ESP,Spain,1997,599.3666032446,654.5027822079,853640231891.445,EU,0.08424132098767192,55.13617896330004,0.03907610812355605,0.035872997235629644,1.0892903056548904,EC
EST,Estonia,1997,22.855231302,14.5665936515,12222126358.4524,EU,-0.5690168785374523,-8.2886376505,0.10842127731199955,0.13050020704786255,0.830813067386435,EC
FIN,Finland,1997,101.2586200248,117.8046976769,168391880311.838,EU,0.1404534621996188,16.546077652099996,0.030803299360150443,0.06397700684043157,0.48147453095107395,WD
FRA,France,1997,686.7769264849,1042.9051101458,1818562957062.05,EU,0.3414770722631828,356.12818366089994,0.02578264271116271,0.02527061633935558,1.0202617286785252,EC
GRC,Greece,1997,204.6552236728,227.9192576442,175921772178.591,EU,0.10207138357618296,23.26403397140001,-0.003368441860054215,0.03602883265160988,-0.09349295028862675,SD
HRV,Croatia,1997,47.0944057669,68.2855101479,38018368234.5642,EU,0.31033090819856296,21.191104380999995,0.27103905035280174,0.061679905473343156,4.394284463842758,END
HUN,Hungary,1997,131.2497689339,125.4979733237,82033753398.2324,EU,-0.04583178084768145,-5.751795610199991,0.016851963509259046,0.02977879065431132,0.5659048987209039,WD
IRL,Ireland,1997,99.5051582759,77.596579448,123246371072.281,EU,-0.2823394920723491,-21.9085788279,0.1102580494108537,0.11021765082343116,1.0003665346441402,EC
ITA,Italy,1997,716.0064740061,1105.9734231112002,1726814955886.64,EU,0.3526006511151859,389.9669491051002,0.041720333188558924,0.019257212260854865,2.166478336709515,END
LTU,Lithuania,1997,31.656401914900002,40.401163475500006,20326259134.8192,EU,0.21644826060276667,8.744761560600004,0.1109134823808402,0.08300630373487526,1.3362055336797232,END
LUX,Luxembourg,1997,6.9320591828,11.538273802399999,32714187913.5681,EU,0.3992117623904793,4.606214619600001,0.036142328060147465,0.05419830840567395,0.6668534336832507,WD
LVA,Latvia,1997,15.737397458,19.7875315716,12937852902.7127,EU,0.20468111946883488,4.050134113600002,0.0588819859689809,0.09171476340720995,0.6420120794244127,WD
MLT,Malta,1997,5.5786333957,6.2344353931,5086035706.66143,EU,0.10519027883837134,0.6558019974000002,-0.04365320180100161,0.052569809144056866,-0.8303853963285065,SD
NLD,Netherlands,1997,220.4424716907,397.8317098446,565287382969.544,EU,0.44589014340559063,177.38923815390004,0.0025852727705994853,0.04248479542970135,0.06085171752509151,WD
POL,Poland,1997,571.5942854689,511.8470289869,247015068311.447,EU,-0.11672873553697848,-59.74725648200001,5.079341396539375e-4,0.06358906350304848,0.00798775939874609,WD
PRT,Portugal,1997,191.4364472319,207.3924180674,171307602359.378,EU,0.07693613384802953,15.955970835499985,0.04155517055560949,0.04400867664580288,0.9442494917549996,EC
PRY,Paraguay,1997,74.8535575869,67.1825584846,21555788371.9596,MERCOSUR,-0.11418140772442294,-7.6709991023000015,0.0358903233022317,0.042425161026986465,0.845967874568632,EC
ROU,Romania,1997,217.366253362,198.5436743062,102545439457.276,EU,-0.09480321708346771,-18.82257905579999,-0.0015344887696595087,-0.048490627379703014,0.03164505910892396,RD
SVK,Slovakia,1997,75.3893528648,84.4661251919,46551440140.7428,EU,0.10746050332578096,9.076772327100002,0.07288567145960825,0.054858401854627516,1.3286145603138833,END
SVN,Slovenia,1997,24.420404856,31.3177523248,28599098754.7261,EU,0.220237627441038,6.897347468800003,0.024208941997030786,0.05171338273105234,0.4681368867887662,WD
SWE,Sweden,1997,123.0987379234,159.34130850780002,324435964184.782,EU,0.22745244735219364,36.24257058440003,-0.012734512480125188,0.030649918639927023,-0.4154827498803275,SD
URY,Uruguay,1997,104.3496573754,73.3325879195,35904413225.1269,MERCOSUR,-0.4229643373550193,-31.017069455900018,0.37087013979149663,0.08547683201116137,4.338838151407732,END
ARG,Argentina,1998,565.4984168361,571.6827451423001,412766570325.764,MERCOSUR,0.01081776275171768,6.1843283062000864,0.10180095040112051,0.038501788515622894,2.644057700327679,END
AUT,Austria,1998,161.1523860273,220.0769197174,288606201090.647,EU,0.2677451763945297,58.92453369010002,0.036275034119207926,0.034928800296232874,1.0385422290934008,EC
BEL,Belgium,1998,197.5274757165,394.0990145266,342484242936.573,EU,0.4987871868855745,196.5715388101,0.011399991052246311,0.019618324045559746,0.5810889363317706,WD
BGR,Bulgaria,1998,98.387395196,60.4992375083,31705866815.773,EU,-0.6262584331331789,-37.8881576877,0.11721212864843146,0.037891209580349465,3.0933857732854784,END
BRA,Brazil,1998,2372.9286956167,2110.9359791908,1131254256718.86,MERCOSUR,-0.12411210904005328,-261.9927164259002,0.02886221350189746,0.0033809790195259396,8.53664377543057,END
CYP,Cyprus,1998,28.596456563,23.6882172857,13962602012.6924,EU,-0.2072017162837738,-4.908239277299998,0.06765665093966952,0.061108829494707154,1.1071501696089514,EC
CZE,Czech Republic,1998,199.5385598818,181.4237404002,121996963423.806,EU,-0.09984812043694362,-18.11481948159997,-0.054586535847380664,-0.003931501937504491,13.884397544524498,RND
DEU,Germany,1998,1531.472252325,2131.4103492887,2746774816494.42,EU,0.281474703903879,599.9380969637002,0.06317057595236761,0.020956123117223457,3.014420921227021,END
DNK,Denmark,1998,126.5996607033,162.8986786101,246313036680.162,EU,0.22283187449102737,36.2990179068,0.27131608794477213,0.02326302745389553,11.662974154266351,END
ESP,Spain,1998,687.237686331,740.2884347316999,890363642200.019,EU,0.07166226826159582,53.050748400699945,0.13106995853311804,0.04301977453335881,3.0467374586420135,END
EST,Estonia,1998,21.133657502,15.036875847,12752545572.9222,EU,-0.405455343053615,-6.096781655000003,0.03228498074095531,0.043398276119357856,0.7439231146454353,WD
FIN,Finland,1998,86.78817592579999,118.7246319273,177576428488.635,EU,0.2689960413695452,31.93645600150002,0.007808977643005976,0.05454270217654503,0.14317181458538125,WD
FRA,France,1998,787.7336754190001,1130.9855731205,1881350558837.76,EU,0.30349803380288426,343.25189770149996,0.0844568332418911,0.03452594342796109,2.446184661633116,END
GRC,Greece,1998,222.0565765491,257.5396224354,181968090540.634,EU,0.13777703621197315,35.483045886300005,0.1299599037718864,0.03436935796613589,3.781272373488496,END
HRV,Croatia,1998,49.3818999963,65.3438673952,38874419434.9495,EU,0.24427644146560756,15.961967398899992,-0.04307857913529069,0.02251677912906912,-1.91317678644706,SD
