from,to,prob
R1,R1,0.6767419064699265
R1,R2,0.16031868198389837
R1,R3,0.16293941154617525
R2,R1,0.16471064730036541
R2,R2,0.8352893526996346
R2,R3,7.926357406852974e-21
R3,R1,0.27814068683178006
R3,R2,0.24856888770699548
R3,R3,0.47329042546122435
