bloc,tapio,n,pct,se,ci_lower,ci_upper
EU,SD,236,29.1358024691358,1.596556967310594,26.006550813207035,32.265054125064566
EU,WD,128,15.802469135802468,1.2816505960521423,13.29043396754027,18.314504304064666
EU,EC,60,7.4074074074074066,0.9201925833332467,5.603829944074243,9.210984870740571
EU,END,257,31.728395061728392,1.6353156726937124,28.523176343248714,34.93361378020807
EU,RD,5,0.6172839506172839,0.2752044258949092,0.07788327586326194,1.156684625371306
EU,RC,8,0.9876543209876543,0.3474598671931427,0.30663298128909455,1.668675660686214
EU,RND,75,9.25925925925926,1.0184665572645746,7.263064807020694,11.255453711497825
EU,SND,41,5.061728395061729,0.7702426627094711,3.5520527761511653,6.571404013972292
MERCOSUR,SD,23,19.166666666666668,3.5931712496942905,12.12405101726586,26.209282316067476
MERCOSUR,WD,22,18.333333333333332,3.5322587464470736,11.410106190297068,25.256560476369597
MERCOSUR,EC,8,6.666666666666667,2.2771001702132443,2.2035503330487085,11.129783000284625
MERCOSUR,END,35,29.166666666666668,4.149269235080459,21.034098965908967,37.29923436742437
MERCOSUR,RD,6,5,1.9895560643855537,1.100470113804315,8.899529886195685
MERCOSUR,RC,2,1.6666666666666667,1.1686491093312572,0,3.957218920955931
MERCOSUR,RND,18,15,3.2596012026013246,8.611181642901403,21.388818357098597
MERCOSUR,SND,6,5,1.9895560643855537,1.100470113804315,8.899529886195685
