regime,tapio_state,prob
1,SD,0.39672131147540984
2,SD,0.2598870056497175
3,SD,0
1,WD,0
2,WD,0.2824858757062147
3,WD,0
1,EC,0.036065573770491806
2,EC,0.10734463276836158
3,EC,0
1,END,0.4885245901639344
2,END,0.2693032015065913
3,END,0
1,RD,0
2,RD,0.003766478342749529
3,RD,0.09574468085106383
1,RC,0.009836065573770493
2,RC,0
3,RC,0.07446808510638298
1,RND,0.06885245901639345
2,RND,0.018832391713747645
3,RND,0.6595744680851063
1,SND,0
2,SND,0.0583804143126177
3,SND,0.1702127659574468
