dv,sd_mercosur,sd_mercosur_se,sd_mercosur_p,sd_eu_offset,sd_eu_offset_p,sd_eu_net,n_obs
|g_GDP| >= 1.0% (excl. 133 obs),-13.059,3.027,1.6e-4,11.056,0.00244,-2.003,766
|g_GDP| >= 0.5% (excl. 65 obs),-12.61,3.586,0.00141,10.808,0.00828,-1.802,834
