term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
tapio_f::SD,-1.5640005907256906,1.1595012622726864,-1.3488563071161848,0.18901487136074663,-3.9473895694707677,0.8193883880193864,EU_only
tapio_f::WD,-0.1338535229376121,0.7860646274331671,-0.17028310175296957,0.866105641090509,-1.749632505302329,1.4819254594271047,EU_only
tapio_f::END,0.7334305917904236,0.8133533225081867,0.9017367624794345,0.37547464157958355,-0.9384411066431448,2.4053022902239922,EU_only
tapio_f::RD,-0.7783218918758328,2.0571869462254857,-0.37834281094573985,0.7082475870569899,-5.006930220634151,3.450286436882485,EU_only
tapio_f::RC,-1.0368930934390876,1.4207105911562021,-0.7298411794025156,0.4720122130235056,-3.9572055373523796,1.8834193504742043,EU_only
tapio_f::RND,0.5748387989988428,1.4244317667658186,0.40355657070469436,0.6898386723564889,-2.3531226309263755,3.502800228924061,EU_only
tapio_f::SND,1.971151926943975,1.70374628295391,1.156951564129868,0.25781154976624576,-1.5309487136461566,5.473252567534106,EU_only
tapio_f::SD,-12.278210479301407,2.864249064444817,-4.286711875624307,0.02333164415279282,-21.39352933185613,-3.162891626746683,MERCOSUR_only
tapio_f::WD,-3.267425935815486,0.2979786892044486,-10.965300721803114,0.001623889827439472,-4.215727114327466,-2.319124757303506,MERCOSUR_only
tapio_f::END,1.6770415293207492,2.126828604830942,0.7885174787998747,0.4879614855307171,-5.091476306095185,8.445559364736683,MERCOSUR_only
tapio_f::RD,2.0404481004895665,5.688175180379459,0.35871752113538946,0.74356562254808,-16.06186398611553,20.142760187094662,MERCOSUR_only
tapio_f::RC,-6.030117739262852,3.258613350725075,-1.8505164897581632,0.16134185793927774,-16.40047975762603,4.340244279100325,MERCOSUR_only
tapio_f::RND,-12.530136414945911,0.5344865203827802,-23.44331603717952,1.7004980322696253e-4,-14.231111066962034,-10.829161762929788,MERCOSUR_only
tapio_f::SND,-5.586589402508276,3.121849007819598,-1.7895130060790907,0.17147261495723826,-15.521706243097364,4.348527438080813,MERCOSUR_only
