term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
tapio_f::SD,-2.8118949599711716,1.1957278630277184,-2.3516178278652258,0.025452888541795757,-5.25389703986462,-0.36989288007772325,M1_main
tapio_f::WD,-0.35956877876841054,0.7363682713958991,-0.4883002062090382,0.6288874809786698,-1.8634334171344098,1.1442958595975887,M1_main
tapio_f::END,1.0202600486169828,0.770728952822565,1.3237598573150582,0.1955819620523071,-0.553778463006438,2.5942985602404036,M1_main
tapio_f::RD,-1.3933768523798922,1.4294605319778872,-0.9747571347436452,0.3374755992446542,-4.312724724208046,1.5259710194482616,M1_main
tapio_f::RC,-1.2797242083324802,1.2498936664346652,-1.0238664637631991,0.3140839770842142,-3.832347616597364,1.2728991999324035,M1_main
tapio_f::RND,-2.1063929065002682,1.739347042412569,-1.2110250888049268,0.2353398457301591,-5.658613463168479,1.4458276501679421,M1_main
tapio_f::SND,1.4314541087314057,1.3796992860897974,1.0375116687842076,0.3077880994241256,-1.3862677412282691,4.2491759586910804,M1_main
tapio_f::SD,-11.516535806715641,2.989518974472023,-3.85230396764736,5.720733110653765e-4,-17.621948065869777,-5.411123547561505,M2_interaction
tapio_f::WD,-1.8303839825916821,1.5411277419395686,-1.1876912813781897,0.24427376481458746,-4.977786721596585,1.3170187564132205,M2_interaction
tapio_f::END,2.3646443376838437,1.8541776649008381,1.275306235451987,0.21198868984143462,-1.4220916364320844,6.151380311799771,M2_interaction
tapio_f::RD,-4.896419880369032,1.9533147175603918,-2.506723487183087,0.017834522407721518,-8.885620726530451,-0.9072190342076119,M2_interaction
tapio_f::RC,-4.678428296649891,2.4424592598550072,-1.9154580686547944,0.06500938227391753,-9.66659556868968,0.30973897538989803,M2_interaction
tapio_f::RND,-11.647653515411184,3.9042033286310387,-2.983362426335334,0.005620068287839328,-19.621100437273963,-3.674206593548404,M2_interaction
tapio_f::SND,-4.430677063767952,2.9379599277663133,-1.5080794744319501,0.14199415485821207,-10.430791701961867,1.5694375744259634,M2_interaction
tapio_f::SD:eu_dummy,9.81334637959714,3.244798491237974,3.0243315281662055,0.005069475330721737,3.1865837946940125,16.44010896450027,M2_interaction
tapio_f::WD:eu_dummy,1.6276683698680223,1.7429304519715447,0.9338688001158384,0.35782772286961106,-1.931870485442131,5.187207225178176,M2_interaction
tapio_f::END:eu_dummy,-1.5560146587346608,1.9379274099384634,-0.8029272153099224,0.42833252921955267,-5.513790430363182,2.4017611128938605,M2_interaction
tapio_f::RD:eu_dummy,5.126642080723643,3.638706019355086,1.4089190095198387,0.16914035910905417,-2.304586999182767,12.557871160630054,M2_interaction
tapio_f::RC:eu_dummy,4.407829331310513,3.65920621526458,1.2045862058615364,0.2377805198664923,-3.0652667340506374,11.880925396671664,M2_interaction
tapio_f::RND:eu_dummy,12.018320841923567,4.369405210943261,2.7505622073740033,0.009986260443150829,3.094804929195046,20.941836754652087,M2_interaction
tapio_f::SND:eu_dummy,6.751757853567817,3.8098431184315964,1.772187894274062,0.08652047814763254,-1.0289798100338468,14.53249551716948,M2_interaction
tapio_f::SD,-9.139703407521877,3.0727602777622387,-2.974427739666674,0.05885895243500902,-18.91859800050885,0.6391911854650996,M4_trade_MERCOSUR
tapio_f::WD,-1.6212061986126682,1.3813020318809646,-1.173679732017058,0.32522181613980844,-6.0171257464531225,2.7747133492277856,M4_trade_MERCOSUR
tapio_f::END,5.560589636457791,3.0474151766942685,1.8246905374047941,0.16554390636041968,-4.1376455332783815,15.258824806193964,M4_trade_MERCOSUR
tapio_f::RD,4.977118602325932,4.5923478953119226,1.0837851826092708,0.35778723230834314,-9.637781989686907,19.59201919433877,M4_trade_MERCOSUR
tapio_f::RC,-3.731377028339316,5.2936069073328875,-0.7048836631920068,0.531679504820723,-20.57799677220518,13.115242715526545,M4_trade_MERCOSUR
tapio_f::RND,-10.239432040304301,2.07314602092722,-4.939079031068293,0.015917918768313746,-16.837107934917753,-3.6417561456908496,M4_trade_MERCOSUR
tapio_f::SND,-0.1216471045704095,5.299450747599209,-0.02295466273094789,0.9831278837207639,-16.986864556300496,16.743570347159675,M4_trade_MERCOSUR
log_trade,1.5056296566510199,1.6691057801813107,0.9020576613709091,0.43351413153185975,-3.8062098666146733,6.817469179916713,M4_trade_MERCOSUR
