iso3,bloc,n_obs,pct_SD,pct_END,pct_R3,med_gap,mean_gap,med_elast
ARG,MERCOSUR,30,3.3333333333333335,23.333333333333332,23.333333333333332,-0.17040754766491067,-0.1451697082414156,1.1543657714034488
AUT,EU,30,36.666666666666664,16.666666666666664,60,0.2628586975408913,0.26055062122155553,0.11051095880887202
BEL,EU,30,43.333333333333336,40,53.333333333333336,0.5750971620576122,0.5771549453840535,0.5659688880902118
BGR,EU,30,23.333333333333332,43.333333333333336,36.666666666666664,-0.40828536555126127,-0.4399966373667313,1.3575737260557008
BRA,MERCOSUR,30,16.666666666666664,36.666666666666664,46.666666666666664,-0.17120475784560157,-0.16372344054778243,0.6516648691806848
CYP,EU,30,33.33333333333333,33.33333333333333,36.666666666666664,-0.18630285985207434,-0.15302488384869284,0.86686180480319
CZE,EU,30,20,33.33333333333333,40,0.04359166354688464,0.032649555457541356,1.2579868935614873
DEU,EU,30,43.333333333333336,23.333333333333332,50,0.3948572004642076,0.37646428568706525,-0.10799317138843974
DNK,EU,30,33.33333333333333,36.666666666666664,43.333333333333336,0.23294357486834077,0.2385030308675055,1.3765710751017102
ESP,EU,30,30,33.33333333333333,36.666666666666664,0.16359398134409886,0.18219033982028904,0.9584260814938235
EST,EU,30,13.333333333333334,30,30,-0.30665201333972836,-0.2900664184488474,0.8340202190430224
FIN,EU,30,30,26.666666666666668,46.666666666666664,0.1417306609147419,0.1352635194008261,0.5390863690708725
FRA,EU,30,33.33333333333333,30,50,0.34204109594563314,0.34625657612393984,0.6478055539023193
GRC,EU,30,20,26.666666666666668,40,0.1612215215022597,0.21500554281202686,1.1305570711959705
HRV,EU,30,20,33.33333333333333,36.666666666666664,0.2872487916916563,0.29064484592807244,1.3761768995116672
HUN,EU,30,30,40,43.333333333333336,0.05993566243497103,0.05524437864014025,0.6949804427138211
IRL,EU,30,33.33333333333333,20,60,-0.13332553641555345,-0.07149616533501096,0.5054822064868385
ITA,EU,30,26.666666666666668,46.666666666666664,26.666666666666668,0.44981903608536816,0.4467617662116473,1.5166302550775719
LTU,EU,30,26.666666666666668,23.333333333333332,50,0.2853815374951679,0.26733707231277243,0.7009105207828172
LUX,EU,30,36.666666666666664,46.666666666666664,40,0.45011158277983687,0.42805847971178784,3.2560533359867847
LVA,EU,30,26.666666666666668,30,43.333333333333336,0.2686367537267264,0.26770129769749035,0.672086658617514
MLT,EU,30,26.666666666666668,23.333333333333332,60,-0.006045435481996989,-0.04801000277220875,0.4243573378239713
NLD,EU,30,30,26.666666666666668,53.333333333333336,0.5404136770330483,0.54332153423385,0.13611595590807377
POL,EU,30,36.666666666666664,20,70,-0.1267562686537577,-0.15300995066781273,0.14784581414083756
PRT,EU,30,26.666666666666668,20,36.666666666666664,0.09920413585517657,0.09291070414187005,0.8930218626071729
PRY,MERCOSUR,30,26.666666666666668,26.666666666666668,33.33333333333333,-0.41393648067781275,-0.4368803720833925,1.0391463786212523
ROU,EU,30,16.666666666666664,36.666666666666664,36.666666666666664,0.10748044749880728,0.08162889925750545,1.0710405924438358
SVK,EU,30,33.33333333333333,43.333333333333336,40,0.1761747082571635,0.16255167571678666,1.1702502190799524
SVN,EU,30,30,36.666666666666664,50,0.12249934944728069,0.11688015958989473,0.9277185849898861
SWE,EU,30,26.666666666666668,36.666666666666664,43.333333333333336,0.15044635976419174,0.14421425255998307,0.552566953548289
URY,MERCOSUR,30,30,30,46.666666666666664,-0.5711330944669191,-0.6768824914537028,0.5179625010892022
