iso3,n,rho_level,rho_diff,p_level,p_diff
ARG,23,0.01383399209486166,-0.18577075098814227,0.9500465072482791,0.39606780480954484
BRA,23,0.3952569169960475,0.2341897233201581,0.06194116281392464,0.28212973010464826
PRY,23,0.6531620553359684,0.18577075098814227,7.271754110956572e-4,0.39606780480954484
URY,23,-0.6245059288537549,0.29347826086956524,0.0014457723176397228,0.17410392307985514
MERCOSUR_pooled,92,0.7462047069340196,0.1351509640429696,1.3903231568744622e-17,0.1989668029942617
